SNR_dB,BER_Empirical,BER_Theoretical
0.0,0.0,0.07864960352514258
1.0,0.0,0.05628195197654147
2.0,0.0,0.037506128358925986
3.0,0.0,0.022878407561085327
4.0,0.0,0.012500818040737553
5.0,0.0,0.005953867147778662
6.0,0.0,0.002388290780932807
7.0,0.0,0.0007726748153784446
8.0,0.0,0.00019090777407599314
9.0,0.0,3.3627228419617505e-05
10.0,0.0,3.872108215522035e-06
11.0,0.0,2.613067953575199e-07
12.0,0.0,9.006010350628754e-09
13.0,0.0,1.3329310175300506e-10
14.0,0.0,6.810189128780772e-13
15.0,0.0,9.123957362628105e-16
16.0,0.0,2.267395844454418e-19
17.0,0.0,6.758969770654687e-24
18.0,0.0,1.3960143109067526e-29
19.0,0.0,1.0010739735708612e-36
20.0,0.0,1.0442437918812723e-45
